,base,quote,symbol_a,symbol_b
147,STX,USDT,STX/USDT:USDT,STX/USDT:USDT
148,SUI,USDT,SUI/USDT:USDT,SUI/USDT:USDT
149,DOT,USDT,DOT/USDT:USDT,DOT/USDT:USDT
150,ACT,USDT,ACT/USDT:USDT,ACT/USDT:USDT
151,ENJ,USDT,ENJ/USDT:USDT,ENJ/USDT:USDT
152,FARTCOIN,USDT,FARTCOIN/USDT:USDT,FARTCOIN/USDT:USDT
153,MOVR,USDT,MOVR/USDT:USDT,MOVR/USDT:USDT
154,MANA,USDT,MANA/USDT:USDT,MANA/USDT:USDT
155,STORJ,USDT,STORJ/USDT:USDT,STORJ/USDT:USDT
156,VANA,USDT,VANA/USDT:USDT,VANA/USDT:USDT
157,MKR,USDT,MKR/USDT:USDT,MKR/USDT:USDT
158,JTO,USDT,JTO/USDT:USDT,JTO/USDT:USDT
159,LRC,USDT,LRC/USDT:USDT,LRC/USDT:USDT
160,MORPHO,USDT,MORPHO/USDT:USDT,MORPHO/USDT:USDT
161,NOT,USDT,NOT/USDT:USDT,NOT/USDT:USDT
162,ETHFI,USDT,ETHFI/USDT:USDT,ETHFI/USDT:USDT
163,THETA,USDT,THETA/USDT:USDT,THETA/USDT:USDT
164,BAT,USDT,BAT/USDT:USDT,BAT/USDT:USDT
165,GMT,USDT,GMT/USDT:USDT,GMT/USDT:USDT
166,RVN,USDT,RVN/USDT:USDT,RVN/USDT:USDT
167,WAXP,USDT,WAXP/USDT:USDT,WAXP/USDT:USDT
168,1INCH,USDT,1INCH/USDT:USDT,1INCH/USDT:USDT
169,TURBO,USDT,TURBO/USDT:USDT,TURBO/USDT:USDT
170,IOST,USDT,IOST/USDT:USDT,IOST/USDT:USDT
171,ME,USDT,ME/USDT:USDT,ME/USDT:USDT
172,GOAT,USDT,GOAT/USDT:USDT,GOAT/USDT:USDT
173,TNSR,USDT,TNSR/USDT:USDT,TNSR/USDT:USDT
174,NEO,USDT,NEO/USDT:USDT,NEO/USDT:USDT
175,ONDO,USDT,ONDO/USDT:USDT,ONDO/USDT:USDT
176,ENS,USDT,ENS/USDT:USDT,ENS/USDT:USDT
177,PEOPLE,USDT,PEOPLE/USDT:USDT,PEOPLE/USDT:USDT
178,AVAAI,USDT,AVAAI/USDT:USDT,AVAAI/USDT:USDT
179,SONIC,USDT,SONIC/USDT:USDT,SONIC/USDT:USDT
180,GLM,USDT,GLM/USDT:USDT,GLM/USDT:USDT
181,MAGIC,USDT,MAGIC/USDT:USDT,MAGIC/USDT:USDT
182,AAVE,USDT,AAVE/USDT:USDT,AAVE/USDT:USDT
183,ORDI,USDT,ORDI/USDT:USDT,ORDI/USDT:USDT
184,ID,USDT,ID/USDT:USDT,ID/USDT:USDT
185,MASK,USDT,MASK/USDT:USDT,MASK/USDT:USDT
186,ARC,USDT,ARC/USDT:USDT,ARC/USDT:USDT
187,AXS,USDT,AXS/USDT:USDT,AXS/USDT:USDT
188,IOTA,USDT,IOTA/USDT:USDT,IOTA/USDT:USDT
189,TIA,USDT,TIA/USDT:USDT,TIA/USDT:USDT
190,ZETA,USDT,ZETA/USDT:USDT,ZETA/USDT:USDT
191,KNC,USDT,KNC/USDT:USDT,KNC/USDT:USDT
192,GAS,USDT,GAS/USDT:USDT,GAS/USDT:USDT
