,base,quote,symbol_a,symbol_b
159,NMR,USDT,NMR/USDT:USDT,NMR/USDT:USDT
160,METIS,USDT,METIS/USDT:USDT,METIS/USDT:USDT
161,ENS,USDT,ENS/USDT:USDT,ENS/USDT:USDT
162,ETC,USDT,ETC/USDT:USDT,ETC/USDT:USDT
163,ALGO,USDT,ALGO/USDT:USDT,ALGO/USDT:USDT
164,ETHFI,USDT,ETHFI/USDT:USDT,ETHFI/USDT:USDT
165,ARC,USDT,ARC/USDT:USDT,ARC/USDT:USDT
166,ATOM,USDT,ATOM/USDT:USDT,ATOM/USDT:USDT
167,SONIC,USDT,SONIC/USDT:USDT,SONIC/USDT:USDT
168,PERP,USDT,PERP/USDT:USDT,PERP/USDT:USDT
169,BLUR,USDT,BLUR/USDT:USDT,BLUR/USDT:USDT
170,ETHW,USDT,ETHW/USDT:USDT,ETHW/USDT:USDT
171,LINK,USDT,LINK/USDT:USDT,LINK/USDT:USDT
172,AR,USDT,AR/USDT:USDT,AR/USDT:USDT
173,BTC,USDC,BTC/USDC:USDC,BTC/USDC:USDC
174,MOVR,USDT,MOVR/USDT:USDT,MOVR/USDT:USDT
175,HMSTR,USDT,HMSTR/USDT:USDT,HMSTR/USDT:USDT
176,AEVO,USDT,AEVO/USDT:USDT,AEVO/USDT:USDT
177,PEOPLE,USDT,PEOPLE/USDT:USDT,PEOPLE/USDT:USDT
178,COOKIE,USDT,COOKIE/USDT:USDT,COOKIE/USDT:USDT
179,CHZ,USDT,CHZ/USDT:USDT,CHZ/USDT:USDT
180,GLM,USDT,GLM/USDT:USDT,GLM/USDT:USDT
181,ETH,USDT,ETH/USDT:USDT,ETH/USDT:USDT
182,POPCAT,USDT,POPCAT/USDT:USDT,POPCAT/USDT:USDT
183,SNX,USDT,SNX/USDT:USDT,SNX/USDT:USDT
184,HBAR,USDT,HBAR/USDT:USDT,HBAR/USDT:USDT
185,TRX,USDT,TRX/USDT:USDT,TRX/USDT:USDT
186,BAT,USDT,BAT/USDT:USDT,BAT/USDT:USDT
187,BOME,USDT,BOME/USDT:USDT,BOME/USDT:USDT
188,CETUS,USDT,CETUS/USDT:USDT,CETUS/USDT:USDT
189,AUCTION,USDT,AUCTION/USDT:USDT,AUCTION/USDT:USDT
190,DOT,USDT,DOT/USDT:USDT,DOT/USDT:USDT
191,BICO,USDT,BICO/USDT:USDT,BICO/USDT:USDT
192,RDNT,USDT,RDNT/USDT:USDT,RDNT/USDT:USDT
