,base,quote,symbol_a,symbol_b,price_a,price_b,spread_ratio,is_abnormal
0,DGB,USDT,DGB/USDT:USDT,DGB/USDT:USDT,0.01922,0.007888,1.436612576064909,True
1,ORBS,USDT,ORBS/USDT:USDT,ORBS/USDT:USDT,0.035157,0.02274,0.5460422163588391,True
2,SLP,USDT,SLP/USDT:USDT,SLP/USDT:USDT,0.003515,0.002129,0.651009863785815,True
